entity_id,entity_name,group_id,date,signal_type,severity,severity_rule,magnitude,magnitude_unit,detail,source_doc,source_page,evidence_text,valid_from,valid_to
600569,安阳钢铁股份有限公司,G_ANYANG,,share_pledge,low,"本次质押占其持股 >=80% high, >=50% medium",18400.0,股,安钢集团 质押给 中信信托有限责任公司,outputs/analysis_freeze/pledge/analysis_074_600569_pledge.json,1,"股东
名称
是否
为控
股股
东
本次质
押股数
(万股)
是否
为限
售股
是否补
充质押
质
押
起始日
质
押
到期日
质权人
占其所持
股份比例
占公司
总股本
比例
质押融
资资金
用途
安钢
集团
是
18,400
否
否
2025 年
11 月28
日
办理解除
质押登记
手续为止
中信信托有
限责任公司
9.44%
6.41%
置换到
期有息
负债",2025-11-28,2026-11-28
600231,凌源钢铁股份有限公司,G_ANSTEEL,2023-02-25,capacity_reduction,info,产能变化只作背景，严重程度由方向三结合供需关系判断,35.0,t/座,capacity_replacement 3×35t转炉系统,outputs/backtest_linggang_freeze/capacity/backtest_linggang_024_600231_capacity.json,2,凌钢3×35t转炉系统已经停产，主体设备完成去功能化，且已不具备恢复生产条件。,2023-02-25,2024-02-25
600231,凌源钢铁股份有限公司,G_ANSTEEL,2023-02-25,capacity_increase,info,产能变化只作背景，严重程度由方向三结合供需关系判断,120.0,t/座,capacity_replacement 120t转炉系统,outputs/backtest_linggang_freeze/capacity/backtest_linggang_024_600231_capacity.json,2,凌钢新建120t转炉系统符合相关设计规范要求，与产能置换方案公告的结果一致。公司新建的120t转炉已经投入生产。,2023-02-25,2024-02-25
600231,凌源钢铁股份有限公司,G_ANSTEEL,2023-12-06,capacity_increase,info,产能变化只作背景，严重程度由方向三结合供需关系判断,195.0,万吨/年,capacity_replacement 2290m³高炉 炼铁产能,outputs/backtest_linggang_freeze/capacity/backtest_linggang_041_600231_capacity.json,1,变更为建设一座2290m³高炉，建设产能195万吨/年,2023-12-06,2024-12-06
600231,凌源钢铁股份有限公司,G_ANSTEEL,2023-12-06,capacity_increase,info,产能变化只作背景，严重程度由方向三结合供需关系判断,113.0,万吨/年,capacity_replacement 1200m³高炉 炼铁产能,outputs/backtest_linggang_freeze/capacity/backtest_linggang_041_600231_capacity.json,1,和一座1200m³高炉，建设产能113万吨/年,2023-12-06,2024-12-06
600231,凌源钢铁股份有限公司,G_ANSTEEL,2022-05-11,credit_exposure,medium,为非子公司（股东、兄弟公司、联营或无关方）担保=medium,10000.0,万元,guarantee_provided → 凌源钢铁集团有限责任公司,outputs/backtest_linggang_freeze/guarantee/backtest_linggang_004_600231_guarantee_backtest.json,2,2022 年5 月9 日，根据《相互担保协议》及《相互担保协议之补充协议》约定，公司与渤海银行锦州分行签订了《最高额保证协议》（合同编号：渤锦分最高保（2022）第4 号），为控股股东凌钢集团与渤海银行锦州分行签订的《综合授信合同》（合同编号：渤锦分综（2022）第4 号）项下不超过人民币1.0 亿元的敞口额度提供连带责任保证担保，凌钢集团就上述担保事项向公司提供反担保，并签署了《反担保合同》，承担连带责任保证担保。,2022-05-11,2025-05-11
600231,凌源钢铁股份有限公司,G_ANSTEEL,2022-05-11,credit_exposure,medium,为非子公司（股东、兄弟公司、联营或无关方）担保=medium,10000.0,万元,guarantee_provided → 凌源钢铁集团有限责任公司,outputs/backtest_linggang_freeze/guarantee/backtest_linggang_004_600231_guarantee_backtest.json,2,公司与盛京银行朝阳分行签订了《银行承兑质押合同》（合同编号：150211202205070053Z01），为凌钢集团与盛京银行朝阳分行签订的《银行承兑协议》（合同编号：150211202205070053）项下签发日为2022 年5 月9 日，到期日为2023 年1 月20 日，金额为人民币1.0 亿元的80 张银行承兑汇票提供质押担保，凌钢集团就上述担保事项向公司提供反担保，并签署了《反担保合同》，承担连带责任保证担保。,2022-05-09,2023-01-20
600231,凌源钢铁股份有限公司,G_ANSTEEL,2022-05-21,credit_exposure,medium,为非子公司（股东、兄弟公司、联营或无关方）担保=medium,10000.0,万元,guarantee_provided → 凌源钢铁集团有限责任公司,outputs/backtest_linggang_freeze/guarantee/backtest_linggang_005_600231_guarantee_backtest.json,3,同日，公司与民生银行大连分行签订了《最高额质押合同》（合同编号：公高质字第ZH22Z0000051470 号），为控股股东凌钢集团与民生银行大连分行签订的《银行承兑协议》（合同编号：公承兑字第ZH2200000051470 号）项下签发日为2022 年5 月19 日，到期日为2023 年5 月3 日，金额合计为人民币1.0 亿元的10 张银行承兑汇票提供质押担保。,2022-05-19,2023-05-03
600231,凌源钢铁股份有限公司,G_ANSTEEL,2022-06-11,credit_exposure,medium,为非子公司（股东、兄弟公司、联营或无关方）担保=medium,10000.0,万元,guarantee_provided → 凌源钢铁集团有限责任公司,outputs/backtest_linggang_freeze/guarantee/backtest_linggang_006_600231_guarantee_backtest.json,2,2022 年6 月9 日，根据《相互担保协议》及《相互担保协议之补充协议》约定，公司与盛京银行朝阳分行签订了《银行承兑质押合同》（合同编号：150211202206090053Z01），为凌钢集团与盛京银行朝阳分行签订的《银行承兑协议》（合同编号：150211202206090053）项下签发日为2022 年6 月9 日，到期日为2022 年12 月7 日，金额为人民币1.0 亿元的56 张银行承兑汇票提供质押担保，凌钢集团就上述担保事项向公司提供反担保，并签署了《反担保合同》，承担连带责任保证担保。,2022-06-09,2022-12-07
600231,凌源钢铁股份有限公司,G_ANSTEEL,2022-06-11,credit_exposure,medium,为非子公司（股东、兄弟公司、联营或无关方）担保=medium,20000.0,万元,guarantee_provided → 凌源钢铁集团有限责任公司,outputs/backtest_linggang_freeze/guarantee/backtest_linggang_006_600231_guarantee_backtest.json,3,2022 年6 月10 日，公司与华夏银行沈阳分行签订了《最高额保证合同》（合同编号：SY12(高保)20220010），为凌钢集团与华夏银行沈阳分行签订的2.86亿元《最高额融资合同》（编号：SY12（融资）20220010）提供连带责任保证担保。凌钢集团就上述担保事项向公司提供反担保，并签署了《反担保合同》，承担连带责任保证担保。同日，凌钢集团在华夏银行沈阳分行办理了人民币2.0亿元流动资金贷款，公司本次实际为其提供的担保金额为人民币2.0 亿元。,2022-06-10,2025-06-10
600231,凌源钢铁股份有限公司,G_ANSTEEL,2022-06-23,credit_exposure,medium,为非子公司（股东、兄弟公司、联营或无关方）担保=medium,20000.0,万元,guarantee_provided → 凌源钢铁集团有限责任公司,outputs/backtest_linggang_freeze/guarantee/backtest_linggang_007_600231_guarantee_backtest.json,1,公司本次为凌钢集团与盛京银行股份有限公司朝阳分行（以下简称“盛京银行朝阳分行”）签订的2.0 亿元《银行承兑协议》提供质押担保。,2022-06-22,2023-06-22
600231,凌源钢铁股份有限公司,G_ANSTEEL,2022-08-31,credit_exposure,low,为子公司担保=low,20000.0,万元,guarantee_limit → 凌源钢铁国际贸易有限公司,outputs/backtest_linggang_freeze/guarantee/backtest_linggang_010_600231_guarantee_backtest.json,1,公司与控股股东凌源钢铁集团有限责任公司（以下简称“凌钢集团”）拟分别为公司的全资子公司国贸公司向盛京银行股份有限公司朝阳分行（以下简称“盛京银行朝阳分行”）申请期限为2 年、最高余额在人民币2 亿元内的综合授信提供连带责任保证担保,2022-08-31,2023-08-31
