security_code,security_name,notice_date,task,title,doc_id,source_url,used_in
600282,南钢股份,2024-03-28,guarantee,关于对外提供担保的进展公告,9904142,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-3/2024-03-28/9904142.PDF,guarantee
600282,南钢股份,2024-05-25,guarantee,关于对外提供担保的进展公告,10239122,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-5/2024-05-25/10239122.PDF,guarantee
600282,南钢股份,2024-06-15,guarantee,关于对外提供担保的进展公告,10276101,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-6/2024-06-15/10276101.PDF,guarantee
600282,南钢股份,2024-07-19,guarantee,关于对外提供担保的进展公告,10335356,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-7/2024-07-19/10335356.PDF,guarantee
600282,南钢股份,2024-08-24,guarantee,关于对外提供担保的进展公告,10402854,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-8/2024-08-24/10402854.PDF,guarantee
600282,南钢股份,2024-11-08,guarantee,关于对外提供担保的进展公告,10582321,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-11/2024-11-08/10582321.PDF,guarantee
600282,南钢股份,2024-11-28,guarantee,关于对外提供担保的进展公告,10613446,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-11/2024-11-28/10613446.PDF,guarantee
600282,南钢股份,2024-12-12,guarantee,关于对外提供担保的进展公告,10641474,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-12/2024-12-12/10641474.PDF,guarantee
600282,南钢股份,2024-12-17,guarantee,关于对外提供担保的进展公告,10652265,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-12/2024-12-17/10652265.PDF,guarantee
600282,南钢股份,2024-12-27,guarantee,关于2025年度预计为全资及控股子公司申请授信提供担保的公告,10673228,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-12/2024-12-27/10673228.PDF,
600282,南钢股份,2024-12-27,guarantee,关于2025年度预计为全资子公司销售钢材提供担保的公告,10673221,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-12/2024-12-27/10673221.PDF,
600282,南钢股份,2025-03-08,guarantee,关于对外提供担保的进展公告,10773930,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-3/2025-03-08/10773930.PDF,guarantee
600282,南钢股份,2025-03-21,guarantee,关于对外提供担保的进展公告,10795185,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-3/2025-03-21/10795185.PDF,guarantee
600282,南钢股份,2025-05-10,guarantee,关于对外提供担保的进展公告,11099902,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-5/2025-05-10/11099902.PDF,guarantee
600282,南钢股份,2025-05-17,guarantee,关于对外提供担保的进展公告,11115117,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-5/2025-05-17/11115117.PDF,guarantee
600282,南钢股份,2025-05-24,guarantee,关于对外提供担保的进展公告,11137769,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-5/2025-05-24/11137769.PDF,guarantee
600282,南钢股份,2025-06-17,guarantee,关于对外提供担保的进展公告,11182671,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-6/2025-06-17/11182671.PDF,guarantee
600282,南钢股份,2025-07-15,guarantee,关于为控股子公司提供担保的进展公告,11237378,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-7/2025-07-15/11237378.PDF,
600282,南钢股份,2025-07-26,guarantee,关于为控股子公司提供担保的进展公告,11261023,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-7/2025-07-26/11261023.PDF,
600282,南钢股份,2025-08-13,guarantee,关于为控股子公司提供担保的进展公告,11294190,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-8/2025-08-13/11294190.PDF,
600282,南钢股份,2025-09-10,guarantee,关于为控股子公司提供担保的进展公告,11441848,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-9/2025-09-10/11441848.PDF,
