security_code,security_name,announcement_date,pattern_guess,announcement_title,source_url
002756,永兴材料,2018-01-17,construction,关于江西永兴特钢新能源科技有限公司投资建设年产1万吨电池级碳酸锂项目及上游配套项目的公告,https://static.cninfo.com.cn/finalpage/2018-01-18/1204337809.PDF
002756,永兴材料,2020-10-30,construction,关于投资建设年产2万吨汽车高压共轨、气阀等银亮棒项目的公告,https://static.cninfo.com.cn/finalpage/2020-10-31/1208662422.PDF
002756,永兴材料,2021-01-14,construction,关于对控股子公司增资及投资建设超宽温区超长寿命锂离子电池项目的公告,https://static.cninfo.com.cn/finalpage/2021-01-15/1209105723.PDF
002756,永兴材料,2021-01-31,construction,关于子公司投资建设年产2万吨电池级碳酸锂项目及配套项目的公告,https://static.cninfo.com.cn/finalpage/2021-02-01/1209220041.PDF
002756,永兴材料,2022-07-25,construction,关于控股子公司投资建设300万吨/年锂矿石高效选矿与综合利用项目的公告,https://static.cninfo.com.cn/finalpage/2022-07-26/1214128806.PDF
300034,钢研高纳,2019-06-11,construction,关于拟投资建设青岛市产业基地与军民融合创新研究院项目的公告,https://static.cninfo.com.cn/finalpage/2019-06-12/1206346852.PDF
300034,钢研高纳,2020-05-29,construction,关于控股子公司投资建设新厂（北区）项目的公告,https://static.cninfo.com.cn/finalpage/2020-05-29/1207876266.PDF
600126,杭钢股份,2023-08-25,construction,杭州钢铁股份有限公司关于全资子公司投资建设杭钢云计算数据中心项目（二期）的公告,https://static.cninfo.com.cn/finalpage/2023-08-26/1217647317.PDF
688186,广大特材,2021-08-13,construction,关于对外投资建设大型高端装备用核心精密零部件项目的公告,https://static.cninfo.com.cn/finalpage/2021-08-14/1210747210.PDF
688186,广大特材,2022-04-14,construction,关于使用特殊合金材料扩建项目募集资金账户支付燃气费的专项说明,https://static.cninfo.com.cn/finalpage/2022-04-15/1212917787.PDF
000825,太钢不锈,2025-10-17,delay,关于董事会延期换届的公告,https://static.cninfo.com.cn/finalpage/2025-10-18/1224718073.PDF
000923,河钢资源,2021-04-28,delay,河钢资源关于非公开发行募投项目延期的公告,https://static.cninfo.com.cn/finalpage/2021-04-29/1209856019.PDF
000923,河钢资源,2023-04-27,delay,河钢资源关于非公开发行募投项目延期的公告,https://static.cninfo.com.cn/finalpage/2023-04-28/1216662343.PDF
002075,沙钢股份,2020-12-30,delay,关于重大资产重组相关财务数据有效期延期的公告,https://static.cninfo.com.cn/finalpage/2020-12-31/1209022809.PDF
002075,沙钢股份,2021-01-29,delay,关于重大资产重组相关财务数据有效期延期的公告,https://static.cninfo.com.cn/finalpage/2021-01-30/1209216034.PDF
002075,沙钢股份,2023-08-23,delay,关于控股股东、实际控制人避免同业竞争承诺延期履行的公告,https://static.cninfo.com.cn/finalpage/2023-08-24/1217619278.PDF
002541,鸿路钢构,2019-01-09,delay,关于控股股东部分股份补充质押及延期购回的公告,https://static.cninfo.com.cn/finalpage/2019-01-10/1205718399.PDF
002541,鸿路钢构,2020-04-27,delay,关于部分监事、高级管理人员及核心人员增持计划延期的公告,https://static.cninfo.com.cn/finalpage/2020-04-28/1207633940.PDF
002541,鸿路钢构,2021-09-06,delay,关于控股股东、实际控制人部分股份质押延期购回的公告,https://static.cninfo.com.cn/finalpage/2021-09-07/1210977154.PDF
002541,鸿路钢构,2021-12-27,delay,关于控股股东、实际控制人部分股份质押延期购回的公告,https://static.cninfo.com.cn/finalpage/2021-12-28/1212031130.PDF
002541,鸿路钢构,2022-03-30,delay,关于部分募集资金投资项目延期的公告,https://static.cninfo.com.cn/finalpage/2022-03-31/1212744491.PDF
002541,鸿路钢构,2022-12-26,delay,关于控股股东、实际控制人部分股份质押延期购回的公告,https://static.cninfo.com.cn/finalpage/2022-12-27/1215454243.PDF
002541,鸿路钢构,2023-03-30,delay,2023-028关于部分募集资金投资项目延期的公告,https://static.cninfo.com.cn/finalpage/2023-03-31/1216275428.PDF
002541,鸿路钢构,2023-12-25,delay,关于控股股东、实际控制人部分股份质押延期购回的公告,https://static.cninfo.com.cn/finalpage/2023-12-26/1218716510.PDF
002541,鸿路钢构,2024-03-29,delay,关于部分募集资金投资项目延期的公告,https://static.cninfo.com.cn/finalpage/2024-03-30/1219468465.PDF
002541,鸿路钢构,2025-02-27,delay,关于部分募集资金投资项目延期的公告,https://static.cninfo.com.cn/finalpage/2025-02-28/1222661130.PDF
300034,钢研高纳,2018-01-17,delay,关于高级管理人员延期换届的公告,https://static.cninfo.com.cn/finalpage/2018-01-18/1204338129.PDF
300881,盛德鑫泰,2022-04-14,delay,关于募集资金投资项目重新论证并延期的公告,https://static.cninfo.com.cn/finalpage/2022-04-15/1212918215.PDF
600126,杭钢股份,2020-06-29,delay,关于本次重组相关财务数据有效期延期的公告,https://static.cninfo.com.cn/finalpage/2020-06-30/1207967548.PDF
600126,杭钢股份,2020-08-03,delay,关于本次重组相关财务数据有效期延期的公告,https://static.cninfo.com.cn/finalpage/2020-08-04/1208118492.PDF
600295,鄂尔多斯,2023-02-28,delay,内蒙古鄂尔多斯资源股份有限公司关于控股股东一致行动人增持公司股份进展暨增持计划延期的公告,https://static.cninfo.com.cn/finalpage/2023-03-01/1216002265.PDF
600507,方大特钢,2023-05-19,delay,方大特钢关于持股5%以上股东部分股份质押延期购回的公告,https://static.cninfo.com.cn/finalpage/2023-05-20/1216865903.PDF
600507,方大特钢,2023-06-06,delay,方大特钢关于持股5%以上股东部分股份质押延期购回的公告,https://static.cninfo.com.cn/finalpage/2023-06-07/1217002304.PDF
600507,方大特钢,2023-12-06,delay,方大特钢关于控股股东股份质押延期购回及部分股份补充质押的公告,https://static.cninfo.com.cn/finalpage/2023-12-07/1218534498.PDF
600507,方大特钢,2024-12-23,delay,方大特钢关于控股股东部分股份质押延期购回的公告,https://static.cninfo.com.cn/finalpage/2024-12-24/1222113673.PDF
600808,马钢股份,2024-06-21,delay,马钢股份关于间接控股股东中国宝武钢铁集团有限公司避免同业竞争承诺延期履行的公告,https://static.cninfo.com.cn/finalpage/2024-06-22/1220427070.PDF
600808,马钢股份,2025-11-26,delay,马鞍山钢铁股份有限公司关于董事会延期换届的提示性公告,https://static.cninfo.com.cn/finalpage/2025-11-27/1224827890.PDF
601005,重庆钢铁,2025-08-28,delay,关于实际控制人中国宝武钢铁集团有限公司避免同业竞争承诺延期履行的公告,https://static.cninfo.com.cn/finalpage/2025-08-29/1224609918.PDF
688186,广大特材,2022-03-08,delay,关于部分募投项目延期的公告,https://static.cninfo.com.cn/finalpage/2022-03-09/1212527303.PDF
002443,金洲管道,2024-08-29,framework_plan,关于固定资产投资建设项目的进展公告,https://static.cninfo.com.cn/finalpage/2024-08-30/1221055736.PDF
002478,常宝股份,2021-08-19,other,关于特种专用管材生产线项目追加投资的公告,https://static.cninfo.com.cn/finalpage/2021-08-20/1210794955.PDF
002541,鸿路钢构,2020-04-29,other,关于公司与金寨县人民政府签订《重型钢构生产基地项目投资协议书》的公告,https://static.cninfo.com.cn/finalpage/2020-04-30/1207680172.PDF
600022,山东钢铁,2018-03-29,other,山东钢铁集团济钢板材有限公司拟转让4300mm宽厚板生产线相关的资产项目资产评估报告,https://static.cninfo.com.cn/finalpage/2018-03-30/1204545466.PDF
601005,重庆钢铁,2025-03-27,other,重庆钢铁关于参与竞拍4100mm宽厚板生产线等资产的公告,https://static.cninfo.com.cn/finalpage/2025-03-28/1222923509.PDF
002443,金洲管道,2022-07-01,progress,关于投资建设年产60万吨优质焊管和工厂预制深加工管材管件项目的前期进展公告,https://static.cninfo.com.cn/finalpage/2022-07-02/1213915467.PDF
